category,prompt_type,understood_total,not_understood_total,invalid_check_status_total
Age,attribute_early,53.0,0.0,1.0
Age,attribute_late,53.6,0.0,0.4
Age,baseline,53.9,0.0,0.1
Age,chain_of_thought,52.8,0.0,1.2
Age,role_based,53.7,0.0,0.3
Disability_status,attribute_early,53.9,0.0,0.1
Disability_status,attribute_late,54.0,0.0,0.0
Disability_status,baseline,54.0,0.0,0.0
Disability_status,chain_of_thought,54.0,0.0,0.0
Disability_status,role_based,53.9,0.0,0.1
Gender_identity,attribute_early,54.0,0.0,0.0
Gender_identity,attribute_late,53.0,0.0,1.0
Gender_identity,baseline,53.6,0.0,0.4
Gender_identity,chain_of_thought,53.9,0.0,0.1
Gender_identity,role_based,52.9,0.0,1.1
Nationality,attribute_early,53.9,0.0,0.1
Nationality,attribute_late,53.6,0.0,0.4
Nationality,baseline,52.9,0.0,1.1
Nationality,chain_of_thought,52.5,0.0,1.5
Nationality,role_based,51.3,0.0,2.7
Physical_appearance,attribute_early,51.1,0.0,2.9
Physical_appearance,attribute_late,53.5,0.0,0.5
Physical_appearance,baseline,50.1,0.0,3.9
Physical_appearance,chain_of_thought,53.9,0.0,0.1
Physical_appearance,role_based,51.4,0.0,2.6
Race_ethnicity,attribute_early,53.8,0.0,0.2
Race_ethnicity,attribute_late,54.0,0.0,0.0
Race_ethnicity,baseline,54.0,0.0,0.0
Race_ethnicity,chain_of_thought,54.0,0.0,0.0
Race_ethnicity,role_based,53.9,0.0,0.1
Race_x_SES,attribute_early,54.0,0.0,0.0
Race_x_SES,attribute_late,54.0,0.0,0.0
Race_x_SES,baseline,54.0,0.0,0.0
Race_x_SES,chain_of_thought,54.0,0.0,0.0
Race_x_SES,role_based,54.0,0.0,0.0
Race_x_gender,attribute_early,53.4,0.0,0.6
Race_x_gender,attribute_late,54.0,0.0,0.0
Race_x_gender,baseline,53.9,0.0,0.1
Race_x_gender,chain_of_thought,53.9,0.0,0.1
Race_x_gender,role_based,53.6,0.0,0.4
Religion,attribute_early,53.9,0.0,0.1
Religion,attribute_late,54.0,0.0,0.0
Religion,baseline,54.0,0.0,0.0
Religion,chain_of_thought,53.8,0.0,0.2
Religion,role_based,54.0,0.0,0.0
SES,attribute_early,50.7,0.0,3.3
SES,attribute_late,49.3,0.0,4.7
SES,baseline,53.9,0.0,0.1
SES,chain_of_thought,52.1,0.0,1.9
SES,role_based,50.4,0.0,3.6
Sexual_orientation,attribute_early,53.6,0.0,0.4
Sexual_orientation,attribute_late,53.9,0.0,0.1
Sexual_orientation,baseline,54.0,0.0,0.0
Sexual_orientation,chain_of_thought,53.9,0.0,0.1
Sexual_orientation,role_based,53.8,0.0,0.2
