model,prompt_type,category,accuracy_cost_bias_nonalignment_mean,accuracy_cost_bias_nonalignment_std,records_total_mean
llama31_8b,attribute_late,Age,-0.1777777777777777,0.0420478675701886,54.0
llama31_8b,baseline,Religion,-0.1740740740740741,0.0178905885755425,54.0
llama31_8b,attribute_late,Physical_appearance,-0.1592592592592592,0.0304915778647616,54.0
llama31_8b,attribute_late,Disability_status,-0.1481481481481481,0.0246913580246913,54.0
llama31_8b,attribute_late,Religion,-0.1407407407407407,0.0420478675701886,54.0
llama31_8b,attribute_early,Religion,-0.1333333333333333,0.0191258436849748,54.0
llama31_8b,role_based,Religion,-0.1259259259259259,0.0434736218806395,54.0
llama31_8b,chain_of_thought,Religion,-0.1222222222222222,0.0249980947300204,54.0
llama31_8b,role_based,Disability_status,-0.1185185185185185,0.0234242789642102,54.0
llama31_8b,baseline,Gender_identity,-0.0777777777777777,0.0273283254582452,54.0
llama31_8b,baseline,Disability_status,-0.0777777777777777,0.0117121394821051,54.0
llama31_8b,attribute_late,SES,-0.074074074074074,0.0,54.0
llama31_8b,role_based,Gender_identity,-0.074074074074074,0.0461933010712832,54.0
llama31_8b,attribute_early,Age,-0.0703703703703703,0.0210239337850943,54.0
llama31_8b,attribute_early,Physical_appearance,-0.0518518518518518,0.0191258436849749,54.0
llama31_8b,chain_of_thought,Physical_appearance,-0.0444444444444444,0.0292152088054302,54.0
llama31_8b,attribute_early,Gender_identity,-0.0444444444444444,0.0234242789642102,54.0
llama31_8b,attribute_early,SES,-0.037037037037037,0.0246913580246913,54.0
llama31_8b,role_based,SES,-0.037037037037037,0.0174594266959641,54.0
llama31_8b,attribute_late,Gender_identity,-0.037037037037037,0.0174594266959641,54.0
llama31_8b,chain_of_thought,SES,-0.0333333333333333,0.0117121394821051,54.0
llama31_8b,baseline,SES,-0.0148148148148148,0.0191258436849749,54.0
llama31_8b,chain_of_thought,Race_x_gender,-0.0148148148148147,0.0312323719522802,54.0
llama31_8b,role_based,Physical_appearance,-0.0111111111111111,0.0429445114343853,54.0
llama31_8b,attribute_late,Race_x_gender,0.0,0.0,54.0
llama31_8b,attribute_early,Disability_status,0.0,0.0,54.0
llama31_8b,chain_of_thought,Race_ethnicity,0.0,0.0,54.0
llama31_8b,baseline,Age,0.0148148148148147,0.0191258436849748,54.0
llama31_8b,chain_of_thought,Age,0.0148148148148148,0.0398136185101163,54.0
llama31_8b,attribute_early,Nationality,0.0185185185185185,0.0195202324701752,54.0
llama31_8b,attribute_late,Nationality,0.0222222222222221,0.0191258436849748,54.0
llama31_8b,role_based,Age,0.0222222222222222,0.0434736218806395,54.0
llama31_8b,attribute_early,Race_x_SES,0.0259259259259259,0.0304915778647616,54.0
llama31_8b,baseline,Nationality,0.0259259259259259,0.0178905885755425,54.0
llama31_8b,chain_of_thought,Disability_status,0.0296296296296296,0.0455286146039154,54.0
llama31_8b,chain_of_thought,Gender_identity,0.0296296296296296,0.0455286146039155,54.0
llama31_8b,baseline,Race_ethnicity,0.0333333333333333,0.0117121394821051,54.0
llama31_8b,attribute_early,Race_ethnicity,0.0333333333333333,0.0117121394821051,54.0
llama31_8b,role_based,Race_ethnicity,0.0333333333333333,0.0117121394821051,54.0
llama31_8b,baseline,Race_x_gender,0.037037037037037,0.0349188533919282,54.0
llama31_8b,attribute_early,Sexual_orientation,0.037037037037037,0.0,54.0
llama31_8b,role_based,Sexual_orientation,0.0444444444444444,0.0420478675701886,54.0
llama31_8b,baseline,Physical_appearance,0.0518518518518518,0.0191258436849748,54.0
llama31_8b,role_based,Nationality,0.0555555555555555,0.0400045722123942,54.0
llama31_8b,chain_of_thought,Sexual_orientation,0.0666666666666666,0.0156161859761401,54.0
llama31_8b,role_based,Race_x_gender,0.074074074074074,0.0349188533919282,54.0
llama31_8b,attribute_late,Race_ethnicity,0.074074074074074,0.0,54.0
llama31_8b,baseline,Sexual_orientation,0.0740740740740741,0.0302406141084342,54.0
llama31_8b,chain_of_thought,Nationality,0.0777777777777777,0.0117121394821051,54.0
llama31_8b,attribute_late,Race_x_SES,0.0814814814814814,0.0156161859761401,54.0
llama31_8b,attribute_early,Race_x_gender,0.0851851851851852,0.0178905885755425,54.0
llama31_8b,chain_of_thought,Race_x_SES,0.1074074074074074,0.0210239337850943,54.0
llama31_8b,role_based,Race_x_SES,0.1185185185185185,0.0382516873699497,54.0
llama31_8b,baseline,Race_x_SES,0.1259259259259259,0.0258965147696333,54.0
llama31_8b,attribute_late,Sexual_orientation,0.1925925925925926,0.0648588915385861,54.0
