model,prompt_type,category,biased_error_rate_nonaligned_mean,biased_error_rate_nonaligned_std,records_total_mean
llama31_8b,attribute_late,Religion,0.2583333333333333,0.0238425696599996,54.0
llama31_8b,baseline,Religion,0.25,0.0,54.0
llama31_8b,attribute_early,Religion,0.2269230769230769,0.0121626063852629,54.0
llama31_8b,attribute_late,Age,0.2185185185185185,0.032429445769293,54.0
llama31_8b,attribute_late,Physical_appearance,0.1982213438735177,0.0231796081646113,54.0
llama31_8b,chain_of_thought,Religion,0.1696923076923076,0.0364358884137198,54.0
llama31_8b,role_based,Religion,0.1638389451890596,0.0368285138079401,54.0
llama31_8b,baseline,Race_x_gender,0.1481481481481481,0.0,54.0
llama31_8b,attribute_late,Disability_status,0.1423076923076923,0.0155242336910743,54.0
llama31_8b,role_based,Race_x_gender,0.1387464387464387,0.0192316485325337,54.0
llama31_8b,chain_of_thought,Race_x_gender,0.1276353276353276,0.0177310853451161,54.0
llama31_8b,role_based,Physical_appearance,0.1208768115942029,0.0134190625058281,54.0
llama31_8b,baseline,Gender_identity,0.1152421652421652,0.0209836790913722,54.0
llama31_8b,attribute_late,Race_x_gender,0.1111111111111111,1.4628472785736258e-17,54.0
llama31_8b,attribute_early,Age,0.1111111111111111,0.0174594266959641,54.0
llama31_8b,attribute_early,Race_x_gender,0.0962962962962963,0.0191258436849748,54.0
llama31_8b,attribute_early,Physical_appearance,0.0849999999999999,0.0123977297802341,54.0
llama31_8b,baseline,Physical_appearance,0.0799999999999999,1.4628472785736258e-17,54.0
llama31_8b,attribute_late,Race_x_SES,0.0777777777777777,0.0117121394821051,54.0
llama31_8b,attribute_late,SES,0.074074074074074,0.0,54.0
llama31_8b,attribute_early,Race_x_SES,0.074074074074074,0.0,54.0
llama31_8b,attribute_early,Gender_identity,0.0712250712250712,0.0217906816820204,54.0
llama31_8b,role_based,Age,0.0705128205128205,0.0207763531407019,54.0
llama31_8b,role_based,Gender_identity,0.0584971509971509,0.0195353868203232,54.0
llama31_8b,chain_of_thought,Physical_appearance,0.0501811594202898,0.0174818579843447,54.0
llama31_8b,attribute_late,Gender_identity,0.0461538461538461,0.0162168085136839,54.0
llama31_8b,attribute_early,SES,0.0444444444444444,0.0156161859761401,54.0
llama31_8b,attribute_late,Nationality,0.0407407407407407,0.0117121394821051,54.0
llama31_8b,attribute_late,Sexual_orientation,0.0373219373219373,0.0251778360060235,54.0
llama31_8b,baseline,Age,0.037037037037037,0.0,54.0
llama31_8b,baseline,SES,0.037037037037037,0.0,54.0
llama31_8b,role_based,Sexual_orientation,0.0352421652421652,0.0124253764772262,54.0
llama31_8b,chain_of_thought,Age,0.0333333333333333,0.032429445769293,54.0
llama31_8b,role_based,SES,0.0333333333333333,0.0117121394821051,54.0
llama31_8b,chain_of_thought,SES,0.0333333333333333,0.0117121394821051,54.0
llama31_8b,baseline,Disability_status,0.0078461538461538,0.0165451189144957,54.0
llama31_8b,role_based,Disability_status,0.0041666666666666,0.0131761569173682,54.0
llama31_8b,chain_of_thought,Disability_status,0.0038461538461538,0.0121626063852629,54.0
llama31_8b,chain_of_thought,Gender_identity,0.0037037037037037,0.0117121394821051,54.0
llama31_8b,role_based,Race_ethnicity,0.0037037037037037,0.0117121394821051,54.0
llama31_8b,chain_of_thought,Sexual_orientation,0.0037037037037037,0.0117121394821051,54.0
llama31_8b,role_based,Race_x_SES,0.0037037037037037,0.0117121394821051,54.0
llama31_8b,attribute_early,Race_ethnicity,0.0037037037037037,0.0117121394821051,54.0
llama31_8b,baseline,Race_ethnicity,0.0037037037037037,0.0117121394821051,54.0
llama31_8b,attribute_early,Disability_status,0.0,0.0,54.0
llama31_8b,baseline,Nationality,0.0,0.0,54.0
llama31_8b,chain_of_thought,Nationality,0.0,0.0,54.0
llama31_8b,role_based,Nationality,0.0,0.0,54.0
llama31_8b,attribute_early,Nationality,0.0,0.0,54.0
llama31_8b,attribute_late,Race_ethnicity,0.0,0.0,54.0
llama31_8b,chain_of_thought,Race_ethnicity,0.0,0.0,54.0
llama31_8b,baseline,Race_x_SES,0.0,0.0,54.0
llama31_8b,chain_of_thought,Race_x_SES,0.0,0.0,54.0
llama31_8b,attribute_early,Sexual_orientation,0.0,0.0,54.0
llama31_8b,baseline,Sexual_orientation,0.0,0.0,54.0
