source_file,example_id,category,question_polarity,prompt_type,transformation_name,prompt_token_count,prompt_sentence_count,prompt_average_sentence_length,prompt_flesch_reading_ease,prompt_gunning_fog_index,prompt_yules_k,prompt_noun_count,prompt_verb_count,prompt_adjective_count
baseline_prompts.json,1309,Nationality,neg,baseline,baseline,175,14,12.5,57.095,9.714286,120.01587,42,22,14
baseline_prompts.json,457,Disability_status,neg,baseline,baseline,168,12,14.0,54.947385,8.646154,139.64497,44,22,8
baseline_prompts.json,819,Race_x_SES,nonneg,baseline,baseline,172,11,15.636364,65.948476,8.030789,162.813048,62,20,3
baseline_prompts.json,4287,Gender_identity,nonneg,baseline,baseline,164,11,14.909091,57.210888,10.272304,111.881592,45,23,7
baseline_prompts.json,4535,Race_ethnicity,nonneg,baseline,baseline,166,11,15.090909,59.372692,8.615385,118.227732,59,20,3
baseline_prompts.json,1463,Disability_status,nonneg,baseline,baseline,165,13,12.692308,69.134231,8.0,140.036731,49,22,4
baseline_prompts.json,3555,Race_ethnicity,nonneg,baseline,baseline,174,12,14.5,66.952092,8.3057,147.879885,54,24,5
baseline_prompts.json,15933,Race_x_gender,neg,baseline,baseline,166,12,13.833333,56.418891,9.860704,122.370491,50,23,5
baseline_prompts.json,3467,Race_ethnicity,nonneg,baseline,baseline,163,14,11.642857,51.076319,11.817548,111.772129,55,20,3
baseline_prompts.json,1191,Physical_appearance,nonneg,baseline,baseline,172,13,13.230769,73.67095,8.008145,174.333123,46,27,9
baseline_prompts.json,3335,Race_ethnicity,nonneg,baseline,baseline,164,13,12.615385,56.405453,10.557705,112.97398,55,22,2
baseline_prompts.json,4647,Gender_identity,nonneg,baseline,baseline,158,11,14.363636,66.035376,8.649462,110.859158,48,26,4
baseline_prompts.json,661,Physical_appearance,neg,baseline,baseline,192,12,16.0,61.093616,11.102151,124.142967,47,26,8
baseline_prompts.json,4167,Race_ethnicity,nonneg,baseline,baseline,191,14,13.642857,64.917026,8.520161,111.972088,55,30,5
baseline_prompts.json,3491,SES,nonneg,baseline,baseline,181,10,18.1,59.793865,10.074713,126.799019,50,27,7
baseline_prompts.json,469,Sexual_orientation,neg,baseline,baseline,184,13,14.153846,57.236605,10.254642,124.022398,39,33,9
baseline_prompts.json,65,Age,neg,baseline,baseline,172,13,13.230769,64.607075,8.594947,150.095751,44,26,9
baseline_prompts.json,2607,Gender_identity,nonneg,baseline,baseline,176,11,16.0,65.132322,9.36138,120.076601,51,25,7
baseline_prompts.json,4309,Race_ethnicity,neg,baseline,baseline,172,13,13.230769,68.580833,7.116402,112.952208,54,23,4
baseline_prompts.json,35,Nationality,nonneg,baseline,baseline,167,13,12.846154,67.324453,8.603586,134.979424,44,21,13
baseline_prompts.json,337,Disability_status,neg,baseline,baseline,174,11,15.818182,70.60389,7.442391,136.814044,46,26,9
baseline_prompts.json,2941,Nationality,neg,baseline,baseline,177,13,13.615385,65.90875,8.955319,131.057753,43,24,13
baseline_prompts.json,4925,SES,neg,baseline,baseline,194,11,17.636364,58.78584,9.161979,124.995056,52,30,10
baseline_prompts.json,7,Age,nonneg,baseline,baseline,159,12,13.25,64.357026,8.00218,225.94796,47,22,3
baseline_prompts.json,10229,Race_x_gender,neg,baseline,baseline,177,11,16.090909,62.871822,8.904338,94.198023,59,22,5
baseline_prompts.json,1751,SES,nonneg,baseline,baseline,179,14,12.785714,61.734587,8.982902,138.626339,56,23,4
baseline_prompts.json,511,Religion,nonneg,baseline,baseline,162,12,13.5,60.361785,8.966154,202.636719,44,24,10
