example_id,category,modified_token_count,modified_sentence_count,modified_average_sentence_length,modified_flesch_reading_ease,modified_gunning_fog_index,modified_yules_k,modified_noun_count,modified_verb_count,modified_adjective_count
6423,SES,119,8,14.875,63.215455,10.460606,188.0,37,16,7
3295,Race_x_SES,141,7,20.142857,55.872985,12.024105,185.015183,37,16,21
995,Religion,140,6,23.333333,68.746959,8.302941,173.611111,40,20,13
585,Nationality,146,6,24.333333,63.808045,9.137521,115.560333,40,20,13
1907,Gender_identity,135,6,22.5,63.029569,9.593103,154.868873,47,15,12
6537,Race_x_SES,160,7,22.857143,63.34533,8.91863,143.854228,41,24,19
593,Sexual_orientation,150,8,18.75,67.026202,8.524031,132.544379,40,27,13
7749,Race_x_gender,124,6,20.666667,69.576782,6.597904,138.003319,46,10,11
287,Religion,155,9,17.222222,65.481365,8.026767,200.490087,43,20,17
775,Disability_status,157,9,17.444444,70.570086,8.026767,151.440329,41,20,9
3037,Age,169,10,16.9,64.145374,9.966625,173.076033,49,20,14
3727,SES,150,7,21.428571,60.468062,9.764341,134.911243,46,20,12
1729,Age,192,8,24.0,58.54357,11.88962,135.169881,39,27,16
789,Physical_appearance,114,7,16.285714,64.833889,8.007565,181.717452,35,13,12
521,Sexual_orientation,150,9,16.666667,80.574571,6.944762,159.96032,38,18,15
11597,Race_x_gender,131,6,21.833333,65.100488,8.120042,139.599059,49,14,8
2419,Age,191,11,17.363636,76.038201,7.354244,118.233195,45,30,14
1973,Race_ethnicity,119,5,23.8,62.60875,7.253191,145.772595,46,11,7
1289,Nationality,138,9,15.333333,60.467192,9.466325,147.945993,32,18,17
2233,Age,162,7,23.142857,65.171839,9.631015,116.694331,40,23,15
2661,Age,157,8,19.625,77.412114,7.092683,201.183432,43,19,14
191,Religion,148,7,21.142857,73.110714,8.457143,147.560295,39,20,17
267,Sexual_orientation,129,8,16.125,57.615833,10.214815,156.552479,35,13,14
2445,Race_ethnicity,116,6,19.333333,59.386859,8.437188,153.045608,43,15,7
3609,Race_x_gender,134,6,22.333333,58.242603,10.198544,113.168724,52,16,6
2973,Race_ethnicity,126,8,15.75,59.617462,8.775385,136.054422,44,14,10
4419,Race_ethnicity,127,7,18.142857,64.846071,9.533333,115.699537,43,15,6
3105,SES,146,10,14.6,59.021019,9.735423,147.945993,47,13,10
4003,Race_ethnicity,128,7,18.285714,56.388094,11.082977,117.355372,47,14,7
691,Sexual_orientation,140,8,17.5,63.759426,10.32919,138.408304,35,17,16
201,Religion,137,7,19.571429,68.061121,7.956309,193.48916,42,13,17
189,Disability_status,123,7,17.571429,58.444573,8.468376,134.240363,39,15,8
865,Nationality,117,8,14.625,71.9535,7.59,155.170581,32,16,12
111,Religion,148,7,21.142857,73.938994,7.849169,141.601562,39,18,19
1003,Age,142,7,20.285714,68.519443,8.072523,173.800632,40,17,9
569,Disability_status,131,7,18.714286,54.454899,8.888889,127.55102,41,14,11
2005,Gender_identity,134,6,22.333333,64.363478,9.006211,156.064209,48,15,11
253,Sexual_orientation,130,9,14.444444,69.321667,7.762963,163.285919,32,15,15
2431,SES,130,7,18.571429,67.755,8.133333,188.536318,36,18,9
155,Religion,147,8,18.375,72.439286,8.774603,143.840288,43,18,14
515,Race_x_gender,123,5,24.6,64.924545,7.228283,109.573241,41,16,7
865,Disability_status,129,8,16.125,64.309834,8.120042,124.568639,36,16,12
2633,Nationality,167,11,15.181818,70.10163,6.628986,138.709177,39,17,19
1575,Physical_appearance,153,9,17.0,62.733392,9.65035,171.028466,37,24,10
3771,Race_x_SES,139,5,27.8,58.915175,9.62807,134.593573,45,19,11
2299,Age,188,11,17.090909,75.673365,7.291983,120.365727,42,30,14
3511,Race_x_gender,145,8,18.125,56.206041,8.650233,170.753364,38,21,17
4343,Race_x_SES,143,7,20.428571,61.744261,8.683563,171.996775,45,16,17
6241,Race_ethnicity,128,6,21.333333,68.538333,7.022222,121.201919,43,16,7
109,Age,143,8,17.875,74.513663,7.617326,93.213756,35,20,8
159,Race_ethnicity,128,7,18.285714,71.91103,7.780224,193.38843,42,14,9
3119,Race_x_gender,137,6,22.833333,56.255385,9.644444,90.491238,45,21,6
4101,Race_ethnicity,149,9,16.555556,60.192841,10.592045,110.570278,45,23,9
5599,Gender_identity,118,5,23.6,60.025455,10.101587,128.0,40,14,9
4345,Race_ethnicity,135,7,19.285714,69.588509,7.705841,116.959064,44,16,9
1783,SES,140,9,15.555556,57.992,9.837143,140.258602,48,15,11
5413,Race_x_gender,112,5,22.4,59.433889,8.433097,121.883657,44,14,9
7397,Race_x_SES,177,9,19.666667,70.585455,8.556643,173.611111,43,24,13
429,Sexual_orientation,138,8,17.25,68.547692,8.960684,153.943931,36,19,16
4563,Gender_identity,119,6,19.833333,60.838447,10.594554,130.718954,40,16,9
6127,SES,135,8,16.875,65.395579,9.121404,176.937618,37,23,9
733,Sexual_orientation,156,8,19.5,61.664823,9.229774,111.383382,40,17,20
571,Nationality,149,7,21.285714,61.604159,9.147642,111.862643,42,19,14
697,Physical_appearance,168,8,21.0,68.686753,9.691393,133.013839,37,28,14
1867,Gender_identity,102,6,17.0,51.732978,10.838235,154.137372,38,12,8
161,Sexual_orientation,116,8,14.5,70.609308,7.620862,191.817162,35,13,14
3471,Race_x_SES,146,7,20.857143,63.402341,10.012386,175.82127,43,19,17
645,Race_ethnicity,126,7,18.0,56.410476,9.238095,156.639373,34,11,18
601,Disability_status,131,7,18.714286,68.298535,7.434343,124.362245,40,16,10
7177,Race_x_SES,155,5,31.0,62.020043,9.777778,120.039625,45,28,10
103,Age,145,7,20.714286,71.76,8.666667,87.425722,36,20,8
8727,Race_x_SES,172,8,21.5,67.622086,8.048817,140.682123,51,24,15
917,Race_ethnicity,137,9,15.222222,66.251808,9.808205,166.618788,39,15,13
3465,SES,146,8,18.25,66.852978,8.435556,136.054422,41,20,13
571,Age,141,8,17.625,74.23947,6.679307,219.976219,34,18,13
5637,Gender_identity,121,5,24.2,58.325575,10.990594,123.029604,39,17,9
