model,prompt_type,category,biased_error_rate_nonaligned_mean,biased_error_rate_nonaligned_std,records_total_mean
qwen3_8b,role_based,Religion,0.1666666666666666,2.925694557147251e-17,54.0
qwen3_8b,attribute_early,Religion,0.1640350877192982,0.0042372446626284,54.0
qwen3_8b,baseline,Religion,0.1428571428571428,0.0,54.0
qwen3_8b,attribute_late,Physical_appearance,0.138095238095238,0.0150584650484208,54.0
qwen3_8b,attribute_early,Race_x_gender,0.1132478632478632,0.0022523345157894,54.0
qwen3_8b,baseline,Race_x_gender,0.1111111111111111,1.4628472785736258e-17,54.0
qwen3_8b,attribute_late,Religion,0.1064327485380117,0.00246571357518,54.0
qwen3_8b,attribute_late,Disability_status,0.0833333333333333,1.4628472785736258e-17,54.0
qwen3_8b,attribute_late,Race_x_gender,0.0769230769230769,1.4628472785736258e-17,54.0
qwen3_8b,role_based,Race_x_gender,0.0769230769230769,1.4628472785736258e-17,54.0
qwen3_8b,attribute_late,Age,0.0769230769230769,1.4628472785736258e-17,54.0
qwen3_8b,baseline,Age,0.0769230769230769,1.4628472785736258e-17,54.0
qwen3_8b,attribute_early,Age,0.0769230769230769,1.4628472785736258e-17,54.0
qwen3_8b,attribute_early,SES,0.076,0.0126491106406735,54.0
qwen3_8b,role_based,Age,0.0749287749287749,0.0013761991211955,54.0
qwen3_8b,chain_of_thought,Age,0.0629629629629629,0.0249980947300204,54.0
qwen3_8b,chain_of_thought,Religion,0.0526874003189792,0.0150954601307593,54.0
qwen3_8b,chain_of_thought,Race_x_gender,0.0492991452991452,0.0171029163286468,54.0
qwen3_8b,attribute_late,Nationality,0.0491452991452991,0.0172024890149447,54.0
qwen3_8b,role_based,SES,0.0471861471861471,0.0009126342453588,54.0
qwen3_8b,role_based,Physical_appearance,0.0454545454545454,0.0,54.0
qwen3_8b,baseline,Physical_appearance,0.0448616600790513,0.0009546361492878,54.0
qwen3_8b,attribute_early,Gender_identity,0.0434782608695652,7.314236392868129e-18,54.0
qwen3_8b,attribute_early,Physical_appearance,0.0431159420289855,0.0007638351836155,54.0
qwen3_8b,chain_of_thought,Physical_appearance,0.0416666666666666,7.314236392868129e-18,54.0
qwen3_8b,attribute_late,Race_ethnicity,0.0384615384615384,7.314236392868129e-18,54.0
qwen3_8b,role_based,Nationality,0.037037037037037,0.0,54.0
qwen3_8b,chain_of_thought,Sexual_orientation,0.0269230769230769,0.0185786881361403,54.0
qwen3_8b,chain_of_thought,Gender_identity,0.0259259259259259,0.0178905885755425,54.0
qwen3_8b,chain_of_thought,SES,0.0038461538461538,0.0121626063852629,54.0
qwen3_8b,attribute_early,Nationality,0.0,0.0,54.0
qwen3_8b,chain_of_thought,Disability_status,0.0,0.0,54.0
qwen3_8b,attribute_early,Disability_status,0.0,0.0,54.0
qwen3_8b,chain_of_thought,Nationality,0.0,0.0,54.0
qwen3_8b,baseline,Disability_status,0.0,0.0,54.0
qwen3_8b,role_based,Disability_status,0.0,0.0,54.0
qwen3_8b,attribute_late,Gender_identity,0.0,0.0,54.0
qwen3_8b,baseline,Gender_identity,0.0,0.0,54.0
qwen3_8b,role_based,Gender_identity,0.0,0.0,54.0
qwen3_8b,baseline,Nationality,0.0,0.0,54.0
qwen3_8b,attribute_late,Race_x_SES,0.0,0.0,54.0
qwen3_8b,chain_of_thought,Race_x_SES,0.0,0.0,54.0
qwen3_8b,role_based,Race_x_SES,0.0,0.0,54.0
qwen3_8b,baseline,Race_ethnicity,0.0,0.0,54.0
qwen3_8b,chain_of_thought,Race_ethnicity,0.0,0.0,54.0
qwen3_8b,role_based,Race_ethnicity,0.0,0.0,54.0
qwen3_8b,attribute_early,Race_x_SES,0.0,0.0,54.0
qwen3_8b,attribute_early,Race_ethnicity,0.0,0.0,54.0
qwen3_8b,baseline,Race_x_SES,0.0,0.0,54.0
qwen3_8b,attribute_late,SES,0.0,0.0,54.0
qwen3_8b,baseline,SES,0.0,0.0,54.0
qwen3_8b,attribute_early,Sexual_orientation,0.0,0.0,54.0
qwen3_8b,attribute_late,Sexual_orientation,0.0,0.0,54.0
qwen3_8b,baseline,Sexual_orientation,0.0,0.0,54.0
qwen3_8b,role_based,Sexual_orientation,0.0,0.0,54.0
