model,prompt_type,category,unknown_over_total_ratio_mean,unknown_over_total_ratio_std,unknown_over_valid_ratio_mean,unknown_over_valid_ratio_std,records_total_mean
llama31_8b,attribute_late,Religion,0.1574074074074073,0.0097601162350875,0.1574074074074073,0.0097601162350875,54.0
llama31_8b,attribute_late,Physical_appearance,0.1555555555555555,0.0129482573848166,0.1555555555555555,0.0129482573848166,54.0
llama31_8b,role_based,Religion,0.1537037037037037,0.0303035498978606,0.1539832285115304,0.0302594704851327,54.0
llama31_8b,role_based,Physical_appearance,0.1037037037037037,0.0095629218424874,0.1037037037037037,0.0095629218424874,54.0
llama31_8b,baseline,Religion,0.0907407407407407,0.0058560697410525,0.0907407407407407,0.0058560697410525,54.0
llama31_8b,chain_of_thought,Physical_appearance,0.0851851851851851,0.0156161859761401,0.0851851851851851,0.0156161859761401,54.0
llama31_8b,baseline,Physical_appearance,0.0833333333333333,0.0130945700219731,0.0833333333333333,0.0130945700219731,54.0
llama31_8b,attribute_early,Physical_appearance,0.0611111111111111,0.0089452942877712,0.0611111111111111,0.0089452942877712,54.0
llama31_8b,role_based,Disability_status,0.0555555555555555,0.008729713347982,0.0558350803633822,0.0085757646158727,54.0
llama31_8b,role_based,Gender_identity,0.0462962962962962,0.0250741926069011,0.0462962962962962,0.0250741926069011,54.0
llama31_8b,attribute_late,Race_x_SES,0.0388888888888888,0.0058560697410525,0.0388888888888888,0.0058560697410525,54.0
llama31_8b,attribute_early,Religion,0.037037037037037,0.0,0.037037037037037,0.0,54.0
llama31_8b,baseline,Disability_status,0.0351851851851851,0.0058560697410525,0.0351851851851851,0.0058560697410525,54.0
llama31_8b,attribute_late,Sexual_orientation,0.0333333333333333,0.0146076044027151,0.0333333333333333,0.0146076044027151,54.0
llama31_8b,role_based,Race_x_SES,0.0314814814814814,0.0196175908420625,0.0314814814814814,0.0196175908420625,54.0
llama31_8b,role_based,Nationality,0.0277777777777777,0.0130945700219731,0.0278476589797344,0.0131512160159488,54.0
llama31_8b,role_based,Sexual_orientation,0.0259259259259259,0.0129482573848166,0.0267095598116685,0.0134791520162366,54.0
llama31_8b,chain_of_thought,Disability_status,0.024074074074074,0.0152457889323808,0.024074074074074,0.0152457889323808,54.0
llama31_8b,attribute_late,Gender_identity,0.0222222222222222,0.00780809298807,0.0222222222222222,0.00780809298807,54.0
llama31_8b,baseline,Gender_identity,0.0222222222222222,0.00780809298807,0.0222222222222222,0.00780809298807,54.0
llama31_8b,chain_of_thought,Religion,0.0203703703703703,0.0058560697410525,0.0203703703703703,0.0058560697410525,54.0
llama31_8b,attribute_late,Race_ethnicity,0.0185185185185185,0.0,0.0185185185185185,0.0,54.0
llama31_8b,attribute_late,Nationality,0.0185185185185185,0.0,0.0185185185185185,0.0,54.0
llama31_8b,chain_of_thought,Race_ethnicity,0.0185185185185185,0.0,0.0185185185185185,0.0,54.0
llama31_8b,chain_of_thought,Gender_identity,0.0166666666666666,0.0203797210113817,0.0166666666666666,0.0203797210113817,54.0
llama31_8b,baseline,Race_x_SES,0.0148148148148148,0.00780809298807,0.0148148148148148,0.00780809298807,54.0
llama31_8b,chain_of_thought,Sexual_orientation,0.0148148148148148,0.00780809298807,0.0148148148148148,0.00780809298807,54.0
llama31_8b,baseline,Nationality,0.0129629629629629,0.0089452942877712,0.0129629629629629,0.0089452942877712,54.0
llama31_8b,attribute_early,Nationality,0.0092592592592592,0.0097601162350875,0.0092592592592592,0.0097601162350875,54.0
llama31_8b,baseline,Sexual_orientation,0.0092592592592592,0.0097601162350875,0.0092592592592592,0.0097601162350875,54.0
llama31_8b,chain_of_thought,Race_x_gender,0.0074074074074074,0.0095629218424874,0.0074074074074074,0.0095629218424874,54.0
llama31_8b,chain_of_thought,Nationality,0.0074074074074074,0.0095629218424874,0.0074074074074074,0.0095629218424874,54.0
llama31_8b,role_based,Age,0.0055555555555555,0.0124990473650102,0.0055904961565338,0.0125397333647284,54.0
