model,prompt_type,category,accuracy_cost_bias_nonalignment_mean,accuracy_cost_bias_nonalignment_std,records_total_mean
qwen3_8b,attribute_late,Physical_appearance,-0.1777777777777778,0.0156161859761401,54.0
qwen3_8b,role_based,SES,-0.1777777777777778,0.0156161859761401,54.0
qwen3_8b,attribute_early,Religion,-0.1703703703703703,0.0191258436849748,54.0
qwen3_8b,role_based,Religion,-0.1481481481481481,0.0,54.0
qwen3_8b,attribute_late,SES,-0.1444444444444444,0.0117121394821051,54.0
qwen3_8b,attribute_early,Gender_identity,-0.1444444444444444,0.011712139482105,54.0
qwen3_8b,role_based,Gender_identity,-0.1185185185185185,0.0156161859761401,54.0
qwen3_8b,attribute_late,Religion,-0.1185185185185184,0.0156161859761401,54.0
qwen3_8b,chain_of_thought,Religion,-0.1148148148148148,0.0368307009633982,54.0
qwen3_8b,baseline,Religion,-0.1111111111111111,0.0,54.0
qwen3_8b,baseline,SES,-0.111111111111111,0.0,54.0
qwen3_8b,attribute_early,SES,-0.0962962962962962,0.0258965147696333,54.0
qwen3_8b,attribute_early,Age,-0.074074074074074,0.0,54.0
qwen3_8b,chain_of_thought,Age,-0.0629629629629629,0.0249980947300204,54.0
qwen3_8b,role_based,Age,-0.0481481481481481,0.0178905885755425,54.0
qwen3_8b,attribute_late,Age,-0.0444444444444444,0.0156161859761401,54.0
qwen3_8b,baseline,Disability_status,-0.037037037037037,0.0,54.0
qwen3_8b,attribute_late,Disability_status,-0.037037037037037,0.0,54.0
qwen3_8b,attribute_early,Disability_status,-0.037037037037037,0.0,54.0
qwen3_8b,baseline,Age,-0.037037037037037,0.0,54.0
qwen3_8b,attribute_late,Race_x_gender,-0.037037037037037,0.0,54.0
qwen3_8b,attribute_late,Gender_identity,-0.0370370370370369,0.0,54.0
qwen3_8b,role_based,Disability_status,-0.0333333333333332,0.011712139482105,54.0
qwen3_8b,chain_of_thought,Race_ethnicity,-0.0185185185185184,0.0261891400439462,54.0
qwen3_8b,chain_of_thought,SES,-0.0037037037037036,0.011712139482105,54.0
qwen3_8b,chain_of_thought,Gender_identity,1.1102230246251566e-17,0.0174594266959641,54.0
qwen3_8b,chain_of_thought,Disability_status,0.0111111111111111,0.0249980947300205,54.0
qwen3_8b,attribute_early,Physical_appearance,0.0148148148148148,0.0191258436849748,54.0
qwen3_8b,chain_of_thought,Race_x_gender,0.0148148148148148,0.0191258436849749,54.0
qwen3_8b,attribute_early,Race_x_gender,0.0185185185185184,0.0195202324701751,54.0
qwen3_8b,attribute_late,Race_x_SES,0.0370370370370369,0.0,54.0
qwen3_8b,attribute_early,Race_ethnicity,0.0370370370370369,0.0,54.0
qwen3_8b,attribute_late,Race_ethnicity,0.037037037037037,0.0,54.0
qwen3_8b,baseline,Race_x_SES,0.037037037037037,0.0,54.0
qwen3_8b,chain_of_thought,Race_x_SES,0.037037037037037,0.0,54.0
qwen3_8b,attribute_late,Nationality,0.037037037037037,0.0,54.0
qwen3_8b,role_based,Nationality,0.0407407407407406,0.0117121394821051,54.0
qwen3_8b,role_based,Physical_appearance,0.0444444444444444,0.0156161859761401,54.0
qwen3_8b,baseline,Physical_appearance,0.0481481481481481,0.0178905885755424,54.0
qwen3_8b,chain_of_thought,Physical_appearance,0.0555555555555555,0.0261891400439461,54.0
qwen3_8b,baseline,Gender_identity,0.0592592592592592,0.0191258436849748,54.0
qwen3_8b,chain_of_thought,Nationality,0.0703703703703703,0.011712139482105,54.0
qwen3_8b,baseline,Race_x_gender,0.074074074074074,0.0,54.0
qwen3_8b,role_based,Race_x_SES,0.074074074074074,0.0,54.0
qwen3_8b,baseline,Nationality,0.0814814814814814,0.0156161859761401,54.0
qwen3_8b,attribute_early,Nationality,0.0925925925925926,0.0195202324701752,54.0
qwen3_8b,baseline,Race_ethnicity,0.0925925925925926,0.0195202324701752,54.0
qwen3_8b,role_based,Race_ethnicity,0.1074074074074074,0.0117121394821051,54.0
qwen3_8b,attribute_early,Race_x_SES,0.1111111111111111,0.0174594266959641,54.0
qwen3_8b,chain_of_thought,Sexual_orientation,0.1185185185185185,0.0156161859761401,54.0
qwen3_8b,role_based,Race_x_gender,0.1444444444444444,0.0117121394821051,54.0
qwen3_8b,attribute_early,Sexual_orientation,0.1629629629629629,0.0191258436849749,54.0
qwen3_8b,baseline,Sexual_orientation,0.1888888888888888,0.0117121394821051,54.0
qwen3_8b,attribute_late,Sexual_orientation,0.2592592592592593,0.0174594266959641,54.0
qwen3_8b,role_based,Sexual_orientation,0.3703703703703703,0.0246913580246913,54.0
