model,prompt_type,category,biased_error_rate_nonaligned_mean,biased_error_rate_nonaligned_std,records_total_mean
ministral3_8b,attribute_late,Age,0.1432307692307692,0.0249491264098115,54.0
ministral3_8b,baseline,Religion,0.1396103896103896,0.0034223784200956,54.0
ministral3_8b,chain_of_thought,Religion,0.124025974025974,0.0314337586503169,54.0
ministral3_8b,role_based,Religion,0.116578947368421,0.0231768263924359,54.0
ministral3_8b,attribute_early,Religion,0.1028571428571428,0.0142327058866412,54.0
ministral3_8b,attribute_late,Disability_status,0.1013551665725578,0.0269820839809556,54.0
ministral3_8b,baseline,Race_x_gender,0.0966153846153846,0.0266054524227521,54.0
ministral3_8b,attribute_late,SES,0.077931488801054,0.0182820006583324,54.0
ministral3_8b,role_based,Race_x_gender,0.0773333333333333,0.013221755360572,54.0
ministral3_8b,chain_of_thought,Race_x_gender,0.074045584045584,0.0215438079892925,54.0
ministral3_8b,attribute_early,Age,0.0636752136752136,0.0251442323874855,54.0
ministral3_8b,chain_of_thought,Physical_appearance,0.053891304347826,0.0213137405762596,54.0
ministral3_8b,role_based,Physical_appearance,0.0488345864661654,0.0017434616316704,54.0
ministral3_8b,attribute_late,Religion,0.0486431989063568,0.0023597571885994,54.0
ministral3_8b,attribute_early,Race_x_gender,0.044,0.0126491106406735,54.0
ministral3_8b,chain_of_thought,Age,0.0426153846153846,0.012071450662805,54.0
ministral3_8b,attribute_early,Physical_appearance,0.0422101449275362,0.0008750831368471,54.0
ministral3_8b,role_based,SES,0.0422101449275362,0.0008750831368471,54.0
ministral3_8b,baseline,Physical_appearance,0.0416666666666666,7.314236392868129e-18,54.0
ministral3_8b,attribute_early,SES,0.0415,0.0005270462766947,54.0
ministral3_8b,attribute_late,Race_x_gender,0.0401666666666666,0.0005270462766947,54.0
ministral3_8b,baseline,SES,0.037037037037037,0.0,54.0
ministral3_8b,role_based,Age,0.037037037037037,0.0,54.0
ministral3_8b,attribute_early,Gender_identity,0.0318181818181818,0.0219566314336203,54.0
ministral3_8b,baseline,Age,0.0296296296296296,0.0156161859761401,54.0
ministral3_8b,attribute_early,Race_x_SES,0.0193846153846153,0.0204383262720337,54.0
ministral3_8b,chain_of_thought,Disability_status,0.0153846153846153,0.0198614530574739,54.0
ministral3_8b,role_based,Gender_identity,0.0142857142857142,0.0230021853114118,54.0
ministral3_8b,chain_of_thought,Gender_identity,0.012,0.0193218356615859,54.0
ministral3_8b,role_based,Nationality,0.0074074074074074,0.0156161859761401,54.0
ministral3_8b,baseline,Nationality,0.0074074074074074,0.0156161859761401,54.0
ministral3_8b,role_based,Disability_status,0.004,0.0126491106406735,54.0
ministral3_8b,chain_of_thought,SES,0.004,0.0126491106406735,54.0
ministral3_8b,baseline,Gender_identity,0.0038461538461538,0.0121626063852629,54.0
ministral3_8b,attribute_late,Nationality,0.0,0.0,54.0
ministral3_8b,baseline,Disability_status,0.0,0.0,54.0
ministral3_8b,attribute_late,Gender_identity,0.0,0.0,54.0
ministral3_8b,attribute_early,Disability_status,0.0,0.0,54.0
ministral3_8b,chain_of_thought,Nationality,0.0,0.0,54.0
ministral3_8b,attribute_late,Physical_appearance,0.0,0.0,54.0
ministral3_8b,attribute_early,Nationality,0.0,0.0,54.0
ministral3_8b,attribute_late,Race_x_SES,0.0,0.0,54.0
ministral3_8b,role_based,Race_x_SES,0.0,0.0,54.0
ministral3_8b,attribute_late,Race_ethnicity,0.0,0.0,54.0
ministral3_8b,baseline,Race_ethnicity,0.0,0.0,54.0
ministral3_8b,chain_of_thought,Race_ethnicity,0.0,0.0,54.0
ministral3_8b,role_based,Race_ethnicity,0.0,0.0,54.0
ministral3_8b,attribute_early,Race_ethnicity,0.0,0.0,54.0
ministral3_8b,baseline,Race_x_SES,0.0,0.0,54.0
ministral3_8b,chain_of_thought,Race_x_SES,0.0,0.0,54.0
ministral3_8b,attribute_early,Sexual_orientation,0.0,0.0,54.0
ministral3_8b,attribute_late,Sexual_orientation,0.0,0.0,54.0
ministral3_8b,baseline,Sexual_orientation,0.0,0.0,54.0
ministral3_8b,chain_of_thought,Sexual_orientation,0.0,0.0,54.0
ministral3_8b,role_based,Sexual_orientation,0.0,0.0,54.0
