category,prompt_type,understood_total,not_understood_total,invalid_check_status_total
Age,attribute_early,54.0,0.0,0.0
Age,attribute_late,54.0,0.0,0.0
Age,baseline,54.0,0.0,0.0
Age,chain_of_thought,54.0,0.0,0.0
Age,role_based,54.0,0.0,0.0
Disability_status,attribute_early,54.0,0.0,0.0
Disability_status,attribute_late,54.0,0.0,0.0
Disability_status,baseline,54.0,0.0,0.0
Disability_status,chain_of_thought,54.0,0.0,0.0
Disability_status,role_based,54.0,0.0,0.0
Gender_identity,attribute_early,54.0,0.0,0.0
Gender_identity,attribute_late,54.0,0.0,0.0
Gender_identity,baseline,54.0,0.0,0.0
Gender_identity,chain_of_thought,54.0,0.0,0.0
Gender_identity,role_based,54.0,0.0,0.0
Nationality,attribute_early,54.0,0.0,0.0
Nationality,attribute_late,54.0,0.0,0.0
Nationality,baseline,54.0,0.0,0.0
Nationality,chain_of_thought,54.0,0.0,0.0
Nationality,role_based,54.0,0.0,0.0
Physical_appearance,attribute_early,53.4,0.6,0.0
Physical_appearance,attribute_late,54.0,0.0,0.0
Physical_appearance,baseline,53.9,0.1,0.0
Physical_appearance,chain_of_thought,54.0,0.0,0.0
Physical_appearance,role_based,53.0,1.0,0.0
Race_ethnicity,attribute_early,53.0,1.0,0.0
Race_ethnicity,attribute_late,53.0,1.0,0.0
Race_ethnicity,baseline,54.0,0.0,0.0
Race_ethnicity,chain_of_thought,54.0,0.0,0.0
Race_ethnicity,role_based,53.2,0.8,0.0
Race_x_SES,attribute_early,54.0,0.0,0.0
Race_x_SES,attribute_late,54.0,0.0,0.0
Race_x_SES,baseline,54.0,0.0,0.0
Race_x_SES,chain_of_thought,54.0,0.0,0.0
Race_x_SES,role_based,54.0,0.0,0.0
Race_x_gender,attribute_early,54.0,0.0,0.0
Race_x_gender,attribute_late,53.9,0.0,0.1
Race_x_gender,baseline,54.0,0.0,0.0
Race_x_gender,chain_of_thought,54.0,0.0,0.0
Race_x_gender,role_based,54.0,0.0,0.0
Religion,attribute_early,54.0,0.0,0.0
Religion,attribute_late,53.0,1.0,0.0
Religion,baseline,54.0,0.0,0.0
Religion,chain_of_thought,54.0,0.0,0.0
Religion,role_based,54.0,0.0,0.0
SES,attribute_early,53.5,0.5,0.0
SES,attribute_late,54.0,0.0,0.0
SES,baseline,54.0,0.0,0.0
SES,chain_of_thought,54.0,0.0,0.0
SES,role_based,54.0,0.0,0.0
Sexual_orientation,attribute_early,54.0,0.0,0.0
Sexual_orientation,attribute_late,53.9,0.1,0.0
Sexual_orientation,baseline,54.0,0.0,0.0
Sexual_orientation,chain_of_thought,54.0,0.0,0.0
Sexual_orientation,role_based,53.7,0.1,0.2
