model,prompt_type,category,records_total_mean,accuracy_valid_only_mean,unknown_over_valid_ratio_mean,sdis_mean,abs_sdis_mean,accuracy_cost_bias_nonalignment_mean,biased_error_rate_nonaligned_mean,unbiased_success_rate_nonaligned_mean
qwen3_8b,attribute_early,Age,54.0,0.925925925925926,0.0185185185185185,0.0566037735849056,0.0566037735849056,-0.074074074074074,0.0769230769230769,0.9230769230769232
qwen3_8b,attribute_late,Age,54.0,0.9111111111111112,0.0518518518518518,0.0624434389140271,0.0624434389140271,-0.0444444444444444,0.0769230769230769,0.9230769230769232
qwen3_8b,baseline,Age,54.0,0.9074074074074076,0.0555555555555555,0.0588235294117647,0.0588235294117647,-0.037037037037037,0.0769230769230769,0.9230769230769232
qwen3_8b,chain_of_thought,Age,54.0,0.9685185185185186,0.0,0.062962962962963,0.062962962962963,-0.0629629629629629,0.0629629629629629,0.9370370370370372
qwen3_8b,role_based,Age,54.0,0.9388888888888888,0.024074074074074,0.062699564586357,0.062699564586357,-0.0481481481481481,0.0749287749287749,0.9250712250712252
qwen3_8b,attribute_early,Disability_status,54.0,0.9814814814814816,0.0185185185185185,0.0188679245283018,0.0188679245283018,-0.037037037037037,0.0,1.0
qwen3_8b,attribute_late,Disability_status,54.0,0.8333333333333334,0.1296296296296296,0.0638297872340425,0.0638297872340425,-0.037037037037037,0.0833333333333333,0.9166666666666666
qwen3_8b,baseline,Disability_status,54.0,0.9814814814814816,0.0185185185185185,0.0188679245283018,0.0188679245283018,-0.037037037037037,0.0,1.0
qwen3_8b,chain_of_thought,Disability_status,54.0,0.9907407407407408,0.0092592592592592,-0.0056603773584905,0.0056603773584905,0.0111111111111111,0.0,1.0
qwen3_8b,role_based,Disability_status,54.0,0.9462962962962964,0.0537037037037037,0.0176470588235293,0.0176470588235293,-0.0333333333333332,0.0,1.0
qwen3_8b,attribute_early,Gender_identity,54.0,0.8870370370370371,0.0944444444444444,0.1001700680272107,0.1001700680272107,-0.1444444444444444,0.0434782608695652,0.9565217391304348
qwen3_8b,attribute_late,Gender_identity,54.0,0.9444444444444444,0.037037037037037,0.0,0.0,-0.0370370370370369,0.0,1.0
qwen3_8b,baseline,Gender_identity,54.0,0.8925925925925926,0.1074074074074074,-0.0332501085540599,0.0332501085540599,0.0592592592592592,0.0,1.0
qwen3_8b,chain_of_thought,Gender_identity,54.0,0.9629629629629632,0.024074074074074,0.0132815390307066,0.0132815390307066,1.1102230246251566e-17,0.0259259259259259,0.9740740740740742
qwen3_8b,role_based,Gender_identity,54.0,0.7703703703703704,0.2296296296296296,0.0769035464441023,0.0769035464441023,-0.1185185185185185,0.0,1.0
qwen3_8b,attribute_early,Nationality,54.0,0.9537037037037038,0.0222222222222222,-0.071988388969521,0.071988388969521,0.0925925925925926,0.0,1.0
qwen3_8b,attribute_late,Nationality,54.0,0.9074074074074076,0.0685185185185185,0.0058823529411764,0.0058823529411764,0.037037037037037,0.0491452991452991,0.9508547008547008
qwen3_8b,baseline,Nationality,54.0,0.925925925925926,0.0555555555555555,-0.0627511312217194,0.0627511312217194,0.0814814814814814,0.0,1.0
qwen3_8b,chain_of_thought,Nationality,54.0,0.9648148148148148,0.0,-0.0703703703703703,0.0703703703703703,0.0703703703703703,0.0,1.0
qwen3_8b,role_based,Nationality,54.0,0.9425925925925924,0.0203703703703703,-0.0208272859216255,0.0208272859216255,0.0407407407407406,0.037037037037037,0.962962962962963
qwen3_8b,attribute_early,Physical_appearance,54.0,0.8148148148148147,0.1296296296296296,-0.0297949429540548,0.0297949429540548,0.0148148148148148,0.0431159420289855,0.9568840579710146
qwen3_8b,attribute_late,Physical_appearance,54.0,0.7592592592592593,0.1851851851851851,0.1727272727272727,0.1727272727272727,-0.1777777777777778,0.138095238095238,0.8619047619047618
qwen3_8b,baseline,Physical_appearance,54.0,0.7648148148148148,0.1796296296296296,-0.0518181818181817,0.0518181818181817,0.0481481481481481,0.0448616600790513,0.9551383399209488
qwen3_8b,chain_of_thought,Physical_appearance,54.0,0.8240740740740741,0.0999999999999999,-0.0742437400492111,0.0742437400492111,0.0555555555555555,0.0416666666666666,0.9583333333333334
qwen3_8b,role_based,Physical_appearance,54.0,0.7555555555555555,0.1944444444444444,-0.0436625390113762,0.0436625390113762,0.0444444444444444,0.0454545454545454,0.9545454545454548
qwen3_8b,attribute_early,Race_ethnicity,54.0,0.9444444444444444,0.037037037037037,-0.0384615384615384,0.0384615384615384,0.0370370370370369,0.0,1.0
