prompt_type,category,runs_observed
attribute_early,Age,10
attribute_early,Disability_status,10
attribute_early,Gender_identity,10
attribute_early,Nationality,10
attribute_early,Physical_appearance,10
attribute_early,Race_ethnicity,10
attribute_early,Race_x_SES,10
attribute_early,Race_x_gender,10
attribute_early,Religion,10
attribute_early,SES,10
attribute_early,Sexual_orientation,10
attribute_late,Age,10
attribute_late,Disability_status,10
attribute_late,Gender_identity,10
attribute_late,Nationality,10
attribute_late,Physical_appearance,10
attribute_late,Race_ethnicity,10
attribute_late,Race_x_SES,10
attribute_late,Race_x_gender,10
attribute_late,Religion,10
attribute_late,SES,10
attribute_late,Sexual_orientation,10
baseline,Age,10
baseline,Disability_status,10
baseline,Gender_identity,10
baseline,Nationality,10
baseline,Physical_appearance,10
baseline,Race_ethnicity,10
baseline,Race_x_SES,10
baseline,Race_x_gender,10
baseline,Religion,10
baseline,SES,10
baseline,Sexual_orientation,10
chain_of_thought,Age,10
chain_of_thought,Disability_status,10
chain_of_thought,Gender_identity,10
chain_of_thought,Nationality,10
chain_of_thought,Physical_appearance,10
chain_of_thought,Race_ethnicity,10
chain_of_thought,Race_x_SES,10
chain_of_thought,Race_x_gender,10
chain_of_thought,Religion,10
chain_of_thought,SES,10
chain_of_thought,Sexual_orientation,10
role_based,Age,10
role_based,Disability_status,10
role_based,Gender_identity,10
role_based,Nationality,10
role_based,Physical_appearance,10
role_based,Race_ethnicity,10
role_based,Race_x_SES,10
role_based,Race_x_gender,10
role_based,Religion,10
role_based,SES,10
role_based,Sexual_orientation,10
